,round,player_name,team_name,opponent_team_name,was_home,total_points
14,15,Mubaarak Mohamud Nuh,Malmö FF,IFK Göteborg,True,0
15,16,Mubaarak Mohamud Nuh,Malmö FF,Degerfors IF,True,0
0,1,Sebastian Nanasi,Malmö FF,Hammarby,True,1
1,2,Sebastian Nanasi,Malmö FF,BK Häcken,False,0
2,3,Sebastian Nanasi,Malmö FF,Östersunds FK,True,1
3,4,Sebastian Nanasi,Malmö FF,Djurgården,False,0
4,5,Sebastian Nanasi,Malmö FF,Varbergs BoIS,True,0
5,6,Sebastian Nanasi,Malmö FF,AIK,False,0
6,7,Sebastian Nanasi,Malmö FF,Kalmar FF,True,0
7,7,Sebastian Nanasi,Malmö FF,IF Elfsborg,True,0
8,8,Sebastian Nanasi,Malmö FF,Örebro SK,False,1
9,9,Sebastian Nanasi,Malmö FF,IFK Norrköping,False,1
10,10,Sebastian Nanasi,Malmö FF,IK Sirius,True,1
11,11,Sebastian Nanasi,Malmö FF,Degerfors IF,False,0
12,12,Sebastian Nanasi,Malmö FF,Mjällby AIF,False,4
13,14,Sebastian Nanasi,Malmö FF,Halmstads BK,False,1
14,15,Sebastian Nanasi,Malmö FF,IFK Göteborg,True,0
15,16,Sebastian Nanasi,Malmö FF,Degerfors IF,True,3
0,1,Romain Gall,Malmö FF,IFK Göteborg,True,3
1,2,Romain Gall,Malmö FF,Östersunds FK,False,1
2,3,Romain Gall,Malmö FF,Kalmar FF,False,3
3,4,Romain Gall,Malmö FF,IFK Norrköping,True,2
4,5,Romain Gall,Malmö FF,Halmstads BK,True,0
5,6,Romain Gall,Malmö FF,BK Häcken,False,4
6,7,Romain Gall,Malmö FF,Degerfors IF,False,1
7,8,Romain Gall,Malmö FF,Malmö FF,True,2
8,9,Romain Gall,Malmö FF,Djurgården,False,2
9,10,Romain Gall,Malmö FF,IF Elfsborg,False,2
10,11,Romain Gall,Malmö FF,Hammarby,True,2
11,12,Romain Gall,Malmö FF,AIK,True,1
12,13,Romain Gall,Malmö FF,IK Sirius,False,0
13,14,Romain Gall,Malmö FF,Mjällby AIF,True,0
14,15,Romain Gall,Malmö FF,IFK Göteborg,True,0
15,16,Romain Gall,Malmö FF,Degerfors IF,True,0
0,1,David Edvardsson,Malmö FF,Hammarby,True,0
1,2,David Edvardsson,Malmö FF,BK Häcken,False,0
2,3,David Edvardsson,Malmö FF,Östersunds FK,True,0
3,4,David Edvardsson,Malmö FF,Djurgården,False,0
4,5,David Edvardsson,Malmö FF,Varbergs BoIS,True,0
5,6,David Edvardsson,Malmö FF,AIK,False,0
6,7,David Edvardsson,Malmö FF,Kalmar FF,True,0
7,7,David Edvardsson,Malmö FF,IF Elfsborg,True,0
8,8,David Edvardsson,Malmö FF,Örebro SK,False,0
9,9,David Edvardsson,Malmö FF,IFK Norrköping,False,0
10,10,David Edvardsson,Malmö FF,IK Sirius,True,0
11,11,David Edvardsson,Malmö FF,Degerfors IF,False,0
12,12,David Edvardsson,Malmö FF,Mjällby AIF,False,0
13,14,David Edvardsson,Malmö FF,Halmstads BK,False,0
14,15,David Edvardsson,Malmö FF,IFK Göteborg,True,0
15,16,David Edvardsson,Malmö FF,Degerfors IF,True,0
0,1,Patriot Sejdiu,Malmö FF,Hammarby,True,0
1,2,Patriot Sejdiu,Malmö FF,BK Häcken,False,0
2,3,Patriot Sejdiu,Malmö FF,Östersunds FK,True,0
3,4,Patriot Sejdiu,Malmö FF,Djurgården,False,0
4,5,Patriot Sejdiu,Malmö FF,Varbergs BoIS,True,0
5,6,Patriot Sejdiu,Malmö FF,AIK,False,0
6,7,Patriot Sejdiu,Malmö FF,Kalmar FF,True,0
7,7,Patriot Sejdiu,Malmö FF,IF Elfsborg,True,0
8,8,Patriot Sejdiu,Malmö FF,Örebro SK,False,0
9,9,Patriot Sejdiu,Malmö FF,IFK Norrköping,False,0
10,10,Patriot Sejdiu,Malmö FF,IK Sirius,True,0
11,11,Patriot Sejdiu,Malmö FF,Degerfors IF,False,0
12,12,Patriot Sejdiu,Malmö FF,Mjällby AIF,False,0
13,14,Patriot Sejdiu,Malmö FF,Halmstads BK,False,0
14,15,Patriot Sejdiu,Malmö FF,IFK Göteborg,True,0
15,16,Patriot Sejdiu,Malmö FF,Degerfors IF,True,0
0,1,Veljko Birmancevic,Malmö FF,Hammarby,True,0
1,2,Veljko Birmancevic,Malmö FF,BK Häcken,False,0
2,3,Veljko Birmancevic,Malmö FF,Östersunds FK,True,1
3,4,Veljko Birmancevic,Malmö FF,Djurgården,False,1
4,5,Veljko Birmancevic,Malmö FF,Varbergs BoIS,True,6
5,6,Veljko Birmancevic,Malmö FF,AIK,False,1
6,7,Veljko Birmancevic,Malmö FF,Kalmar FF,True,1
7,7,Veljko Birmancevic,Malmö FF,IF Elfsborg,True,8
8,8,Veljko Birmancevic,Malmö FF,Örebro SK,False,7
9,9,Veljko Birmancevic,Malmö FF,IFK Norrköping,False,1
10,10,Veljko Birmancevic,Malmö FF,IK Sirius,True,5
11,11,Veljko Birmancevic,Malmö FF,Degerfors IF,False,12
12,12,Veljko Birmancevic,Malmö FF,Mjällby AIF,False,11
13,14,Veljko Birmancevic,Malmö FF,Halmstads BK,False,1
14,15,Veljko Birmancevic,Malmö FF,IFK Göteborg,True,4
15,16,Veljko Birmancevic,Malmö FF,Degerfors IF,True,6
0,1,Amin Sarr,Mjällby AIF,Hammarby,True,0
1,2,Amin Sarr,Mjällby AIF,BK Häcken,False,1
2,3,Amin Sarr,Mjällby AIF,Östersunds FK,True,0
3,4,Amin Sarr,Mjällby AIF,Djurgården,False,0
4,5,Amin Sarr,Mjällby AIF,Varbergs BoIS,True,0
5,6,Amin Sarr,Mjällby AIF,AIK,False,1
6,7,Amin Sarr,Mjällby AIF,Kalmar FF,True,0
7,7,Amin Sarr,Mjällby AIF,IF Elfsborg,True,0
8,8,Amin Sarr,Mjällby AIF,Örebro SK,False,0
9,9,Amin Sarr,Mjällby AIF,IFK Norrköping,False,1
